"Inoculum","Carbon_Source","Family","Replicate","sum_relab","Family_type"
1,"succinate_fructose","Brucellaceae",3,0.002504871,"Other"
1,"succinate_fructose","Enterococcaceae",3,0.000278319,"Other"
1,"succinate_fructose","Moraxellaceae",3,0.001298822,"Other"
1,"succinate_fructose","Oxalobacteraceae",3,0.002041006,"Other"
1,"succinate_fructose","Pseudomonadaceae",3,0.007607385,"Other"
1,"succinate_fructose","Rhizobiaceae",3,0.000371092,"Other"
1,"succinate_fructose","Xanthomonadaceae",3,0.003525374,"Other"
1,"succinate_fructose","Enterococcaceae",4,0.000278319,"Other"
1,"succinate_fructose","Moraxellaceae",4,0.000463865,"Other"
1,"succinate_fructose","Rhizobiaceae",4,0.001762687,"Other"
1,"succinate_fumarate","Alcaligenaceae",1,0.003896465,"Other"
1,"succinate_fumarate","Enterococcaceae",1,0.000278319,"Other"
1,"succinate_fumarate","Rhizobiaceae",1,0.003896466,"Other"
1,"succinate_fumarate","Alcaligenaceae",2,0.004267557,"Other"
1,"succinate_fumarate","Brucellaceae",2,0.004267557,"Other"
1,"succinate_fumarate","Flavobacteriaceae",2,0.00092773,"Other"
1,"succinate_fumarate","Lachnospiraceae",2,0.003710919,"Other"
1,"succinate_fumarate","Rhizobiaceae",2,0.005195288,"Other"
1,"succinate_fumarate","Alcaligenaceae",3,0.002319325,"Other"
1,"succinate_fumarate","Brucellaceae",3,0.007421839,"Other"
1,"succinate_fumarate","Enterococcaceae",3,0.000463865,"Other"
1,"succinate_fumarate","Oxalobacteraceae",3,0.000185546,"Other"
1,"succinate_fumarate","Rhizobiaceae",3,0.004916969,"Other"
1,"succinate_fumarate","Alcaligenaceae",4,0.00621579,"Other"
1,"succinate_fumarate","Enterococcaceae",4,0.000278319,"Other"
1,"succinate_fumarate","Flavobacteriaceae",4,0.007700158,"Other"
1,"succinate_fumarate","Lachnospiraceae",4,0.001762687,"Other"
1,"succinate_fumarate","Oxalobacteraceae",4,0.002690417,"Other"
1,"succinate_glutamine","Brucellaceae",1,0.000834957,"Other"
1,"succinate_glutamine","Comamonadaceae",1,0.00092773,"Other"
1,"succinate_glutamine","Lachnospiraceae",1,0.001020503,"Other"
1,"succinate_glutamine","Oxalobacteraceae",1,0.000278319,"Other"
1,"succinate_glutamine","Sphingobacteriaceae",1,9.28e-05,"Other"
1,"succinate_glutamine","Sphingomonadaceae",1,9.28e-05,"Other"
1,"succinate_glutamine","Xanthomonadaceae",1,0.005195288,"Other"
1,"succinate_glutamine","Aeromonadaceae",2,9.28e-05,"Other"
1,"succinate_glutamine","Brucellaceae",2,0.00528806,"Other"
1,"succinate_glutamine","Comamonadaceae",2,0.001484368,"Other"
1,"succinate_glutamine","Flavobacteriaceae",2,9.28e-05,"Other"
